Client Name,Category,Sector
"Google","Corporate & IT","Technology"
"Microsoft","Corporate & IT","Technology"
"Amazon","Corporate & IT","Technology"
"AIIMS","Healthcare","Public Hospital"
"HDFC Bank","Finance & Banking","Private Bank"
"Taj Hotels","Hospitality & Retail","Luxury Hotels"
"Reliance Industries","Corporate & IT","Conglomerate"
"TCS","Corporate & IT","IT Services"
"GMR Group","Airports & Transit","Airport Infrastructure"
"Special Protection Group","Government & Defence","Central Armed Force"
"CRPF","Government & Defence","Paramilitary"
"CSIR","Government & Defence","Research Council"
"DRDO","Government & Defence","Defence R&D"
"National Health Mission","Government & Defence","Public Health"
"NABH","Government & Defence","Accreditation"
"92 Base Hospital","Government & Defence","Armed Forces Medical"
"Dell","Corporate & IT","Technology"
"IBM","Corporate & IT","Technology"
"HP","Corporate & IT","Technology"
"Genpact","Corporate & IT","IT Services"
"Oracle","Corporate & IT","Technology"
"Salesforce","Corporate & IT","Cloud CRM"
"Amdocs","Corporate & IT","IT Services"
"Hexaware","Corporate & IT","IT Services"
"Birlasoft","Corporate & IT","IT Services"
"Cadence","Corporate & IT","EDA"
"Adobe","Corporate & IT","Software"
"Sony","Corporate & IT","Electronics"
"Renault","Corporate & IT","Automotive"
"Tata Motors","Corporate & IT","Automotive"
"JCB","Corporate & IT","Industrial Equipment"
"Sattva Group","Corporate & IT","Business Group"
"Fortis Healthcare","Healthcare","Hospital Network"
"Max Healthcare","Healthcare","Hospital Network"
"Dr. RML Hospital","Healthcare","Government Hospital"
"Safdarjung Hospital","Healthcare","Government Hospital"
"Sir Ganga Ram Hospital","Healthcare","Multi-specialty"
"Lilavati Hospital","Healthcare","Multi-specialty"
"Metro Group of Hospitals","Healthcare","Hospital Chain"
"KEM Hospital Pune","Healthcare","Government Hospital"
"MGM Hospital Patna","Healthcare","Hospital"
"Lokmanya Tilak Hospital","Healthcare","Government Hospital"
"Masimo","Healthcare","Medical Devices"
"Wellness Hospital","Healthcare","Hospital"
"ITC Hotels","Hospitality & Retail","Luxury Hotels"
"PVR Cinemas","Hospitality & Retail","Entertainment"
"Carrefour","Hospitality & Retail","Retail"
"India Habitat Centre","Hospitality & Retail","Convention Centre"
"NSCI","Hospitality & Retail","Sports Complex"
"Fabindia","Hospitality & Retail","Retail"
"Mall of the Emirates","Hospitality & Retail","Retail Complex"
"MakeMyTrip","Hospitality & Retail","Travel"
"Tumble House","Hospitality & Retail","Entertainment"
"Hero MotoCorp","Hospitality & Retail","Brand"
"Blue Star","Hospitality & Retail","HVAC"
"ABP News","Media & Broadcasting","Broadcasting"
"Network18","Media & Broadcasting","Media Group"
"Dainik Jagran","Media & Broadcasting","Print Media"
"Zee Media","Media & Broadcasting","Broadcasting"
"Times Group","Media & Broadcasting","Media Group"
"Times Now","Media & Broadcasting","News Channel"
"TV Today","Media & Broadcasting","Broadcasting"
"IBN 7","Media & Broadcasting","News Channel"
"Dish TV","Media & Broadcasting","DTH"
"Siti Network","Media & Broadcasting","Cable TV"
"Focus TV","Media & Broadcasting","Broadcasting"
"Ten Sports","Media & Broadcasting","Sports Channel"
"Hotstar","Media & Broadcasting","Streaming"
"Bharti Airtel","Media & Broadcasting","Telecom"
"Vi (Vodafone Idea)","Media & Broadcasting","Telecom"
"MTS","Media & Broadcasting","Telecom"
"Nokia","Media & Broadcasting","Telecom"
"Hindustan Petroleum","Media & Broadcasting","Energy"
"Metro","Media & Broadcasting","Urban Transit"
"Citibank","Finance & Banking","Banking"
"Barclays","Finance & Banking","Investment Bank"
"LIC","Finance & Banking","Insurance"
"Mastercard","Finance & Banking","Payments"
"Diners Club International","Finance & Banking","Payments"
"Sun Life","Finance & Banking","Insurance"
"Blackstone","Finance & Banking","Private Equity"
"Symbiosis International University","Education","University"
"Delhi Public School","Education","School"
"Shiv Nadar School","Education","School"
"EY","Education","Advisory"
"McKinsey & Company","Education","Consulting"
"Parexel","Education","CRO"
"Quest","Education","Research"
"L&T Construction","Real Estate","Construction"
"Nyati Group","Real Estate","Real Estate"
"DCM Shriram","Real Estate","Conglomerate"
"The Quadron","Real Estate","Commercial"
"Piramal","Real Estate","Real Estate"
"Khazanah","Real Estate","Investment"
"AD Group","Real Estate","Business Group"
"Indogulf Group","Real Estate","Conglomerate"
"Amara Raja Group","Industrial","Batteries & Energy"
"Ajanta Packaging","Industrial","Packaging"
"Armacell","Industrial","Insulation"
"LM Wind Power","Industrial","Wind Energy"
"Voith","Industrial","Engineering"
"Fluence","Airports & Transit","Energy Storage"
"Al Gurg Group","Airports & Transit","Logistics"
