Industry,Application,Primary Pollutants,Target IAQ Objective,Recommended O2Cure Product,Filter Configuration,Active Technology,Fresh Air,Recirculation,Exhaust,Recommended ACH,Design Basis (CFM),Expected Outcome*,,,,,
Commercial,Corporate Office,"PM2.5, VOCs",Healthy workplace,Max Cure FAHU,G4 + F7 + EAC,PHI Cell,Yes,Yes,Low,4–6,Occupancy & ASHRAE outdoor air rates,Reduced PM and VOC exposure,,,,,
Commercial,IT Office,"PM1, PM2.5",Protect occupants & equipment,Max Cure FAHU,G4 + F9 + EAC,PHI Cell,Yes,Yes,Low,6,Heat load + occupancy,Cleaner supply air,,,,,
Commercial,Shopping Mall,"PM2.5, VOCs",High-volume IAQ,Max Cure,G4 + F7 + EAC,PHI Cell,Yes,Yes,Medium,6–8,Occupancy + ventilation,Improved indoor air quality,,,,,
Commercial,Airport Terminal,"PM2.5, PM1",Passenger comfort,Max Cure,G4 + F9 + EAC,PHI Cell,Yes,Yes,Medium,6–8,Passenger load,Improved IAQ in public spaces,,,,,
Commercial,Hotel Lobby,"PM2.5, Odour",Guest comfort,Max Cure,G4 + Carbon + F7,PHI Cell,Yes,Yes,Low,4–6,Occupancy,Odour and particulate reduction,,,,,
Commercial,Restaurant Dining,"Odour, VOCs",Dining comfort,Max Cure,G4 + Carbon,PHI Cell,Yes,Yes,Medium,8–10,Occupancy,Reduced cooking odours in occupied zones,,,,,
Healthcare,Hospital OPD,"PM2.5, Microbes",Enhanced IAQ,Max Cure Healthcare,G4 + F9 + HEPA H13,PHI Cell,Yes,Yes,Medium,6–10,Healthcare ventilation design,High-efficiency particulate filtration,,,,,
Healthcare,ICU,Airborne microbes,Infection control,AHU Healthcare Package,G4 + F9 + HEPA H14,PHI Cell,Yes,Yes,Controlled,12,Clinical design criteria,High-grade filtered supply air,,,,,
Healthcare,Operation Theatre,"PM0.3, Microbes",Surgical environment,OT AHU Package,G4 + F9 + HEPA H14,PHI Cell,Yes,Yes,Controlled,20–25,OT design standard,Clean air delivery,,,,,
Education,School Classroom,"PM2.5, CO?",Student wellness,Max Cure,G4 + F7,PHI Cell,Yes,Yes,Low,5–6,Occupancy,Improved classroom IAQ,,,,,
Education,University Lecture Hall,PM2.5,Large occupancy,Max Cure,G4 + F7 + EAC,PHI Cell,Yes,Yes,Medium,6,Occupancy,Cleaner indoor environment,,,,,
Residential,Luxury Apartment,"PM2.5, VOCs",Healthy living,Elixir,G4 + HEPA H13 + Carbon,PHI Cell,Optional,Yes,Low,4,Area & occupancy,Residential air purification,,,,,
Hospitality,Banquet Hall,"PM2.5, CO?",Large gathering comfort,Max Cure,G4 + F7 + EAC,PHI Cell,Yes,Yes,Medium,8,Occupancy,Improved ventilation effectiveness,,,,,
Industrial,Pharmaceutical Production,PM1,Controlled manufacturing,Pharma AHU,G4 + F9 + HEPA H14,PHI Cell,Yes,Yes,Controlled,Process-specific,GMP-compatible filtration,,,,,,
Industrial,Electronics Manufacturing,PM1,Sensitive equipment,EAC AHU Package,G4 + F9 + EAC,—,Yes,Yes,Low,8,Process load,Fine particulate control,,,,,
Industrial,Paint Booth,VOCs,Solvent management,Molecular Filtration Unit,Carbon + MM-Series Media,—,Yes,Limited,High,15,Process exhaust,VOC treatment stage,,,,,
Industrial,Chemical Plant,Acid gases,Gas-phase filtration,Molecular Filtration Unit,MM-9000 / MM-7000,—,Yes,Limited,High,Process,Process requirement,Targeted gas adsorption,,,,,
Infrastructure,Data Centre,PM1,Equipment protection,EAC Unit,G4 + F9 + EAC,—,Yes,Yes,Low,6,Equipment cooling,Reduced fine particulate ingress,,,,,
Infrastructure,Server Room,PM1,Dust control,EAC Unit,G4 + F9 + EAC,—,Yes,Yes,Low,6,Equipment load,Cleaner air for electronics,,,,,
Environment,Garbage Room,"H?S, NH?, Odours",Odour management,Fresh Air Unit,G4 + F7 + Deep Bed Chemical Filter,PHI Cell,Yes,No,High,15–20,Odour load,Significant odour reduction,,,,,
Environment,Garbage Chute,H?S,Odour management,Fresh Air Unit,Deep Bed Chemical Filter,PHI Cell,Yes,No,High,Continuous,Chute volume,Reduced odour migration,,,,,
Environment,STP,"H?S, NH?",Gas control,Molecular Filtration Unit,MM-9000 + Deep Bed Chemical Filter,PHI Cell,Yes,No,High,Process,Airflow calculation,Targeted gas treatment,,,,,
Environment,ETP,"VOCs, Acid Gases",Worker comfort,Molecular Filtration Unit,MM-Series Media,—,Yes,No,High,Process,Airflow calculation,Gas-phase contaminant reduction,,,,,
Construction,Construction Site,"PM10, PM2.5",Dust suppression,"Outdoor Air Purifier (16,000 CFM)",Auto-Wash EAC,PHI Cell,100%,No,No,Open-air,Site dust study,Reduction of airborne construction dust around the unit,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
